idx,T,quality,v0,w0,tc_real,tc_twin,dtc,air_com_dev_mm,air_ang_dev_deg,contact_frames_real,contact_frames_twin,stop_dist_real,stop_dist_twin,e_z_real,e_z_twin,rest_offset_w,wind_mag,wind_offset_m,wind_offset_w,wind_offset_pct
411,106,fit,1.04014331139117,5.516370180834303,18,18,0,2.4459046475102015,0.20413391402033862,70,88,0.28835198283195496,0.4085652166567733,0.0,0.0,1.2025194930883105,4.572872288951768,0.0999299811360593,0.9535303543517109,21.171687069885653
412,117,fit,1.1541076748153267,6.8030810544442675,11,11,0,1.8156145314434673,0.05493202211261829,86,77,0.3837498426437378,0.3336773006103516,0.049474537,0.01720309813870528,0.6677341776432179,4.998592606992061,0.09327185445070876,0.8899986111708851,19.547126585176702
413,96,fit,1.0703909044216413,1.2969992891554203,16,16,0,7.841693214005506,0.16957776699177132,62,62,0.25158628821372986,0.24216924779677118,0.0,0.0,0.723650639058241,6.720509237157547,0.1722021767165628,1.6431505411885763,34.68383958730013
414,104,fit,1.0651297175413936,1.1911517378470013,13,13,0,5.549859238890677,0.5366996460058397,72,58,0.3049487769603729,0.23296947961939674,0.0,0.0,1.1169056817402057,6.823241533901483,0.18585318696011824,1.773408272520212,37.52673548210827
415,98,fit,1.2671292493620445,2.378001660363757,9,9,0,2.5602597795644755,0.31353230731856807,71,89,0.32422491908073425,0.5367587264409587,0.0,0.0,2.5081784627870674,8.282282381978948,0.2601828519120231,2.4826608006872433,59.33090133893545
416,102,fit,1.0951803899099672,5.70856746898124,16,16,0,1.1829474815473255,0.49247439951523037,68,64,0.2862299680709839,0.23444051685626427,0.3022567,0.409029284337424,0.575912821858046,2.7039350167304645,0.01892405412708223,0.18057303556376172,5.105312012418435
417,98,fit,1.0355683005994136,6.484631533616376,11,11,0,4.265686287860792,0.1045658641506592,69,38,0.29756760597229004,0.1465618206962697,0.0,0.0,1.4961405528336134,7.117993064608825,0.1871509095302263,1.785791121471625,44.20033571476051
418,117,fit,1.0425454623975852,6.115773126156547,18,18,0,14.707224162154692,0.23382349060335952,80,99,0.3335665166378021,0.36927519193899755,0.0,0.0,2.7698924009624686,8.37563683434913,0.2827096576853647,2.69761123745577,63.19825275117217
419,100,fit,1.090056329895311,4.899022098266336,12,12,0,5.1302444187815555,0.2341433103303135,70,88,0.3021358847618103,0.7285349543380395,0.0,0.0,4.2102509034811275,9.12427003431661,0.3662169152894023,3.4944362145935335,77.41283175930675
420,97,fit,1.0184321689740443,3.170887735212129,18,18,0,9.846197657970858,0.5204675657262745,61,79,0.22191207110881805,0.4222742395374259,0.30570537,0.02281051233142368,2.3084884374079557,7.887452177445132,0.24206558721998753,2.309786137595301,62.61748967265194
421,120,fit,1.2076669567481595,5.321579418456709,17,17,0,0.19144825199384433,0.2190966995675254,84,94,0.3852129578590393,0.4710758061751838,0.0960333,0.0,0.8432390019258037,1.4705983599994779,0.012751802840347555,0.12167750801858354,2.0367243010504286
422,109,fit,1.1999740930447282,6.272303329301894,12,12,0,3.6289315234594826,0.07661031806021598,79,54,0.3552643656730652,0.23904235552480999,0.0,0.0,1.1646109786232601,5.620274068939079,0.174145521130076,1.6616939039129388,33.164515034941154
423,111,fit,1.2891015299130397,3.8449550612988888,18,18,0,10.643587648238654,0.17240043868043906,75,93,0.34402474761009216,0.3879739231805379,0.2933959,0.15338380237824237,1.915376956493694,7.3235164411576585,0.22071723826480366,2.106080517793928,41.42226455425086
424,93,fit,1.0641613852042708,2.502264989339283,19,19,0,14.493304240798606,0.20777833924419004,55,74,0.2214217633008957,0.4928078844111951,0.21658443,0.11968245812843736,2.9402304559176082,8.96882791628241,0.31518678779808795,3.0075075171573276,83.33585682408686
425,91,fit,1.040610605193493,2.799310903515438,17,17,0,0.9024202593372083,0.04181805059980056,56,62,0.2106562852859497,0.23104753304744405,0.12859412,0.029575380104634865,0.19755737263266404,2.298700443255157,0.01614828560502033,0.15408669470439246,4.1762462708877734
426,97,fit,1.073811261668496,1.2630655155344428,21,21,0,5.711121078653686,0.3633829854552362,57,60,0.21465136110782623,0.21755160910710383,0.08446737,0.06720995277648682,0.26411211157440145,4.534269979860157,0.06581896732346623,0.6280435813307846,15.262795465686965
427,115,fit,1.3047178364053558,4.620932353624586,10,10,0,2.171811103225099,0.17229080623338708,87,98,0.4078141152858734,0.42024312274584236,0.23574601,0.19647115301727408,2.1076421121509505,5.813026301692348,0.14511016649131056,1.3846389932376961,28.601677766425706
428,96,fit,1.2320515195716386,4.020144366205916,8,8,0,1.6354015499164463,0.08242950236499876,71,88,0.31935757398605347,0.5898578236487226,0.2659574,0.26617778184858715,2.7278022560088093,8.16530382719743,0.2796166752330108,2.668098046116515,69.64561461914337
429,106,fit,1.346927753782476,6.433663004228778,5,5,0,0.8082258976595335,0.0456388995868243,83,50,0.41477715969085693,0.22277096603346816,0.21069461,0.365977843826459,1.8812425204393166,7.2188185837421415,0.22471071000096532,2.1441861641313484,44.74270244239711
